Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background,tag
"601.891,5.36422","650.879,114.125","570.599,133.667","554.911,245.408","533.399,368.758","729.316,98.4332","770.453,221.883","772.432,333.504","676.36,329.621","627.425,325.746","580.405,519.683","570.657,715.607","721.466,331.609","717.513,525.558","731.246,715.636","590.271,5.37803","0.0,0.0","586.248,5.37587","670.529,5.36316","0.0,0.0","0.0,0.0","733.237,715.661","570.604,715.638","566.673,715.652","572.561,715.64",0,0
"605.902,5.36027","651.015,114.154","574.506,133.651","556.923,243.449","537.232,366.828","729.351,98.4825","774.282,219.888","774.285,327.678","670.534,337.459","619.675,337.436","582.39,525.556","574.526,715.609","721.442,339.431","721.419,535.348","733.204,715.64","601.853,5.37858","617.608,5.37297","0.0,0.0","680.288,5.36116","0.0,0.0","0.0,0.0","733.24,715.663","572.549,715.64","566.68,715.65","578.44,715.642",0,0
"615.654,5.358","660.678,116.057","584.279,133.677","560.826,243.51","537.239,366.767","733.19,100.406","774.336,216.007","774.383,321.83","668.628,335.545","619.663,335.468","586.198,551.003","576.471,715.624","717.552,339.417","721.491,539.25","739.075,715.638","605.838,5.37529","629.381,5.37602","0.0,0.0","682.306,5.34915","0.0,0.0","0.0,0.0","741.036,715.661","572.587,715.644","570.591,715.657","578.443,715.652",0,0
"621.55,5.35833","664.574,118.02","586.33,133.748","566.72,245.4","539.193,364.883","737.151,102.42","774.33,214.07","774.43,321.764","666.697,343.356","619.542,341.392","586.244,566.674","578.474,715.633","717.534,347.253","725.33,547.097","740.988,715.639","617.56,5.37292","635.326,5.37858","0.0,0.0","692.067,5.34179","0.0,0.0","0.0,0.0","742.957,715.66","578.447,715.638","576.484,715.661","582.325,715.656",0,0
"631.303,5.35088","666.528,125.879","588.229,145.401","570.562,249.328","539.218,364.833","741.056,112.152","774.387,214.084","776.236,319.908","664.652,345.285","615.669,343.369","586.294,556.905","580.388,715.64","713.6,347.261","723.42,549.03","740.985,715.641","621.543,5.36549","646.983,5.37464","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","741.075,715.661","574.537,715.637","572.562,715.667","584.284,715.659",0,0
"214.042,404.052","241.452,439.308","212.099,443.249","196.448,504.02","161.156,525.548","266.951,433.51","284.588,484.418","243.385,496.148","241.444,541.256","223.863,541.207","223.823,619.574","227.732,682.301","257.22,543.154","255.155,619.559","255.166,690.123","212.153,398.253","221.861,398.13","0.0,0.0","237.516,392.313","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","231.688,688.153",0,0
"212.114,411.886","237.504,445.191","210.056,445.304","194.369,507.916","153.283,527.57","261.096,443.216","278.728,488.33","241.489,494.261","235.578,545.159","214.101,545.175","214.085,623.533","219.915,688.155","255.189,545.154","253.234,623.491","257.064,692.085","212.02,402.193","217.97,400.232","0.0,0.0","237.54,398.191","0.0,0.0","0.0,0.0","0.0,0.0","223.811,715.591","212.112,715.624","225.764,693.989",0,0
"210.125,417.851","229.748,447.157","206.204,447.265","186.627,509.819","149.399,531.399","257.204,445.184","274.76,492.258","237.559,494.174","227.781,554.938","210.191,554.986","212.139,635.312","210.078,715.603","245.396,554.894","247.36,635.226","251.287,715.592","208.128,413.941","212.103,413.796","0.0,0.0","227.825,402.181","249.331,715.632","261.059,715.624","249.304,715.598","202.285,715.631","194.455,715.632","221.841,715.585",0,0
"204.248,421.718","227.837,449.126","202.32,451.134","180.769,509.893","147.498,531.448","257.152,447.175","274.798,496.182","231.664,494.247","225.859,558.839","210.049,558.831","210.137,645.06","202.313,715.601","243.46,558.834","241.394,643.089","239.484,715.599","200.331,415.801","210.072,413.934","0.0,0.0","225.849,411.861","0.0,0.0","0.0,0.0","0.0,0.0","196.371,715.643","188.601,715.644","204.255,715.597",0,0
"202.26,423.66","225.804,453.025","196.422,458.878","167.021,525.477","180.803,502.057","253.252,447.281","274.841,496.197","229.691,494.147","217.935,560.841","198.377,560.836","196.41,635.279","196.5,697.909","237.559,562.744","225.865,639.189","221.907,699.961","198.343,415.869","210.027,413.935","0.0,0.0","225.872,411.89","0.0,0.0","0.0,0.0","225.754,715.586","180.767,715.611","176.789,701.898","202.315,697.954",0,0
"196.406,423.673","225.703,456.928","194.471,458.955","163.16,525.611","180.71,507.819","253.236,451.086","274.833,507.964","225.731,494.263","210.143,572.522","192.497,570.635","194.499,656.79","202.292,715.626","227.774,572.565","212.065,662.663","188.59,715.646","194.44,415.844","200.371,413.938","0.0,0.0","225.704,408.023","0.0,0.0","0.0,0.0","188.566,715.648","0.0,0.0","0.0,0.0","210.106,715.634",0,0
"194.365,423.672","221.867,451.132","194.369,456.961","163.076,527.479","178.78,507.921","247.363,447.276","268.912,507.905","210.157,494.222","206.232,570.56","186.643,568.63","182.712,654.855","192.484,715.617","225.772,570.633","210.091,660.728","194.428,715.635","190.502,415.823","196.399,413.955","0.0,0.0","217.936,407.969","0.0,0.0","0.0,0.0","192.5,715.643","176.795,715.645","174.843,715.648","194.435,715.631",0,0
"186.593,425.619","214.009,447.29","186.638,449.187","165.157,521.567","161.174,521.578","241.506,447.204","247.349,507.891","196.484,492.274","200.348,560.807","182.731,558.857","176.777,648.972","178.851,715.613","219.911,564.709","210.033,650.97","198.375,715.624","180.843,415.868","194.349,415.756","0.0,0.0","212.195,409.955","0.0,0.0","0.0,0.0","200.327,715.624","172.895,715.623","168.998,715.642","180.761,715.602",0,0
"180.808,423.675","212.024,447.24","184.631,449.165","169.026,511.837","159.155,523.653","239.533,447.153","243.432,507.959","190.523,492.204","196.466,556.964","180.663,556.882","161.128,646.984","180.708,715.645","214.087,558.896","198.437,650.932","194.452,715.641","178.851,415.834","188.585,413.94","0.0,0.0","212.02,411.85","0.0,0.0","0.0,0.0","196.405,715.643","0.0,0.0","0.0,0.0","180.774,715.647",0,0
"178.789,421.717","210.169,447.248","184.677,449.111","180.727,507.913","163.161,515.769","233.602,447.19","233.671,507.89","176.754,492.136","194.433,558.908","176.855,556.951","153.295,650.944","163.113,715.644","210.195,562.789","194.485,656.834","180.776,715.649","178.685,413.975","180.815,413.896","0.0,0.0","208.089,409.983","0.0,0.0","0.0,0.0","182.742,715.654","0.0,0.0","0.0,0.0","163.058,715.647",0,0
"176.757,421.705","208.103,447.259","182.666,447.288","180.716,507.88","165.066,509.883","227.725,449.107","231.668,509.79","169.009,492.193","188.571,562.776","169.001,558.898","147.429,649.003","149.372,715.646","208.139,566.703","192.532,660.7","180.776,715.649","0.0,0.0","178.816,413.848","0.0,0.0","198.4,409.992","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","149.461,715.653",0,0
"178.695,417.79","200.363,449.147","180.683,449.111","178.784,507.892","163.136,509.913","223.864,449.2","217.949,509.788","163.077,492.259","186.585,566.696","167.045,562.759","141.574,650.881","149.418,715.643","206.19,570.556","192.432,660.735","180.787,715.643","0.0,0.0","178.659,411.921","0.0,0.0","194.542,409.92","0.0,0.0","0.0,0.0","182.717,715.645","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"660.723,88.7111","682.275,180.766","615.656,196.462","580.405,290.477","541.307,394.294","754.736,165.139","784.143,239.453","774.413,351.208","652.923,390.371","603.914,386.461","580.386,596.089","574.518,715.646","703.841,394.276","725.371,590.177","0.0,0.0","650.839,80.8025","678.31,72.9687","0.0,0.0","713.703,84.7891","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"660.755,94.5009","680.397,182.688","615.597,198.394","580.369,292.454","541.291,396.254","750.865,167.068","782.17,241.45","774.365,351.257","651.009,396.256","601.962,392.346","580.387,592.152","578.457,715.646","703.802,398.214","725.38,594.091","0.0,0.0","650.856,84.6441","678.32,76.8817","0.0,0.0","713.677,88.6289","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"660.741,98.4841","682.268,184.696","615.627,200.336","578.448,296.328","541.199,398.172","752.814,172.932","780.276,243.381","774.367,353.099","651.011,394.274","601.987,390.352","578.435,588.272","576.495,715.646","701.89,396.245","727.246,599.946","0.0,0.0","650.842,86.6244","678.335,82.747","0.0,0.0","713.726,90.6684","0.0,0.0","0.0,0.0","0.0,0.0","601.914,715.634","0.0,0.0","584.313,715.651",0,0
"662.67,100.398","682.218,188.558","615.63,204.259","578.472,298.265","539.337,396.28","752.775,174.879","780.267,243.416","774.338,353.151","650.98,398.174","601.958,394.285","576.455,590.221","572.604,715.642","701.868,400.13","727.249,601.915","0.0,0.0","650.901,86.723","678.386,84.6764","0.0,0.0","715.554,92.5854","0.0,0.0","0.0,0.0","0.0,0.0","599.932,715.627","0.0,0.0","580.386,715.647",0,0
"662.614,100.494","682.246,190.528","615.651,204.275","578.477,298.299","539.296,398.174","752.8,176.85","780.244,243.473","774.32,353.196","650.96,396.249","601.904,392.341","574.55,586.283","574.499,715.64","701.881,398.211","725.331,598.007","0.0,0.0","650.892,88.6351","678.35,84.799","0.0,0.0","715.55,96.5025","0.0,0.0","0.0,0.0","0.0,0.0","598.027,715.626","0.0,0.0","580.381,715.649",0,0
"660.75,102.315","682.246,192.465","615.654,206.235","578.421,300.234","539.307,398.184","752.797,178.703","778.321,245.37","774.25,353.191","650.915,400.126","600.005,396.252","574.55,592.166","578.414,715.641","699.955,402.1","725.339,598.031","0.0,0.0","650.877,88.6745","678.335,86.6133","0.0,0.0","713.72,98.4074","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"658.781,102.291","682.251,192.487","615.669,206.235","576.492,298.309","539.228,398.234","752.787,178.727","778.308,243.479","772.392,353.195","649.038,400.134","598.043,396.249","574.591,605.861","574.566,715.639","699.892,402.118","725.349,600.01","0.0,0.0","649.02,88.653","676.412,84.8123","0.0,0.0","713.701,98.3757","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"656.796,100.443","680.38,192.452","611.763,208.145","574.565,298.305","539.163,398.262","750.874,176.843","776.407,243.421","772.368,353.222","648.969,400.194","594.115,398.202","572.623,588.266","574.508,715.634","697.999,404.094","725.333,601.935","0.0,0.0","648.897,86.753","672.52,84.6913","0.0,0.0","713.616,94.5181","0.0,0.0","0.0,0.0","0.0,0.0","596.066,715.618","0.0,0.0","582.338,715.645",0,0
"652.875,98.493","680.213,188.59","605.944,208.173","572.653,300.211","535.373,400.105","748.865,172.89","776.328,241.527","770.438,353.208","648.932,400.133","594.1,398.175","574.515,590.186","574.547,715.635","697.934,400.195","723.43,599.96","0.0,0.0","645.046,84.8251","670.535,80.8516","0.0,0.0","711.642,90.6369","0.0,0.0","0.0,0.0","0.0,0.0","598.0,715.623","0.0,0.0","582.377,715.646",0,0
"650.859,92.6065","676.421,186.601","603.872,206.207","570.686,298.286","533.385,398.268","746.94,170.942","774.388,241.458","766.554,353.177","646.997,400.205","590.22,398.236","574.495,590.207","576.466,715.632","695.995,404.091","723.393,598.004","0.0,0.0","637.208,84.6629","666.555,73.0592","0.0,0.0","707.702,86.6788","0.0,0.0","0.0,0.0","0.0,0.0","596.057,715.626","0.0,0.0","582.366,715.644",0,0
"645.079,86.7588","668.632,180.812","601.878,200.34","570.61,294.35","535.311,398.246","744.907,165.109","772.355,239.55","764.558,353.138","643.121,400.169","588.324,398.195","574.492,592.154","574.52,715.638","694.041,402.119","723.4,598.004","0.0,0.0","633.363,78.8243","662.654,70.9948","0.0,0.0","699.944,82.8157","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","580.402,715.644",0,0
"637.19,84.712","666.654,178.798","599.965,196.424","570.509,292.44","531.466,398.207","741.062,163.061","764.588,241.415","762.594,353.198","643.107,396.246","588.322,394.275","572.622,592.177","570.625,715.636","694.057,398.176","717.552,594.124","0.0,0.0","629.354,70.9767","654.838,67.0498","0.0,0.0","696.027,74.9334","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","572.585,715.642",0,0
"633.321,74.9151","664.669,174.885","590.259,194.464","564.748,290.416","529.455,398.217","739.048,157.248","760.687,239.479","760.674,353.153","643.115,392.324","588.318,390.364","572.506,603.911","0.0,0.0","695.915,394.293","713.551,580.406","0.0,0.0","619.623,67.042","649.035,57.3051","0.0,0.0","690.142,69.0954","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"623.524,70.9991","662.692,167.054","588.252,190.538","558.875,288.545","529.435,398.251","733.193,149.476","758.741,237.559","760.656,353.182","641.104,398.219","588.215,396.266","570.623,631.345","572.541,715.644","694.013,400.157","711.734,586.297","0.0,0.0","615.635,57.3195","641.144,53.3829","0.0,0.0","682.34,57.3734","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"617.69,67.1312","652.889,165.033","582.349,184.653","556.942,288.428","525.617,400.136","729.284,147.455","756.701,257.169","758.71,357.072","643.088,388.419","588.266,386.458","570.613,613.702","570.599,715.648","694.045,394.256","711.567,586.272","0.0,0.0","603.955,53.4618","635.211,43.6487","600.018,69.0534","678.28,53.3774","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"607.82,61.2266","650.888,163.122","572.654,182.716","554.91,288.435","525.577,398.153","727.309,147.361","750.882,263.017","756.753,364.891","648.906,382.532","596.047,382.518","568.616,586.288","568.636,715.651","696.029,384.468","699.89,570.606","0.0,0.0","597.998,51.4112","627.395,39.6899","590.239,65.1387","666.694,45.5609","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"601.963,57.3642","646.955,161.153","570.558,180.738","550.971,290.385","523.526,402.161","723.378,139.631","745.036,257.206","756.664,366.837","650.877,386.435","601.947,384.504","566.662,586.298","566.671,715.65","697.946,386.472","695.912,556.878","0.0,0.0","588.146,49.4478","617.652,39.6003","580.385,65.1066","662.698,43.6149","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"590.278,61.2419","637.228,163.072","560.856,182.692","543.213,290.489","519.661,413.824","715.574,141.58","744.935,263.031","750.874,374.669","652.862,384.461","603.939,382.525","560.822,584.294","566.665,715.654","699.915,384.507","694.046,556.89","0.0,0.0","576.505,49.4603","609.762,39.6481","0.0,0.0","650.945,43.6097","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"584.306,67.1479","633.291,165.015","554.936,188.596","541.145,300.205","513.834,417.846","709.719,145.454","743.048,270.807","748.894,382.494","650.901,394.277","603.875,394.292","558.901,582.366","0.0,0.0","697.937,394.282","697.918,568.661","0.0,0.0","570.488,53.3157","601.84,41.6323","560.807,65.1347","645.02,43.6123","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"572.628,71.0355","623.526,169.02","547.127,194.51","537.287,304.204","511.814,429.61","705.754,149.356","741.014,278.728","746.918,396.253","656.809,392.338","607.845,392.334","558.886,582.351","0.0,0.0","705.789,392.33","699.982,572.567","0.0,0.0","556.914,55.3741","588.338,51.3546","0.0,0.0","633.373,49.4655","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"564.752,80.7881","619.55,178.729","541.278,196.468","527.518,315.925","509.807,443.293","697.964,157.222","737.101,300.237","744.976,409.942","656.782,398.171","609.774,398.153","558.872,572.583","562.784,715.652","701.897,398.164","705.807,574.53","0.0,0.0","549.049,65.1717","582.372,55.3904","539.287,71.0911","623.527,53.4799","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"555.014,86.7916","613.721,182.724","539.233,208.139","523.669,331.567","507.89,460.915","690.081,165.007","731.285,300.217","743.077,427.565","658.776,404.057","613.676,406.05","558.932,570.616","0.0,0.0","703.822,400.201","711.692,578.468","0.0,0.0","539.282,71.0626","572.506,67.0881","527.473,82.7311","617.515,61.2512","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"547.078,102.388","605.867,196.358","533.394,214.062","523.503,345.298","503.978,478.535","682.254,174.875","727.408,306.118","742.962,445.153","658.791,413.906","611.748,417.786","564.702,574.517","0.0,0.0","705.774,409.959","719.528,586.31","0.0,0.0","527.471,84.8143","564.703,76.9453","511.903,86.7681","603.973,71.1117","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"539.257,118.071","601.928,210.031","525.537,227.747","511.896,362.938","496.139,498.098","678.325,184.663","727.252,325.729","740.995,464.845","668.568,411.906","619.538,417.784","570.517,586.3","0.0,0.0","715.639,407.976","719.472,580.424","0.0,0.0","521.617,102.293","554.915,94.5534","503.959,102.32","596.078,86.7498","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"527.535,141.581","592.2,225.874","515.756,249.313","509.852,384.442","492.324,523.631","672.494,204.233","717.526,347.272","737.12,494.128","672.456,417.776","621.577,423.667","570.574,586.228","0.0,0.0","715.619,415.817","725.373,584.294","0.0,0.0","509.864,127.82","541.295,116.131","498.115,133.812","586.321,110.224","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"523.52,167.012","588.188,243.417","507.982,270.844","507.924,406.031","492.199,543.21","664.682,219.906","725.341,396.26","733.253,523.498","668.618,421.712","621.513,429.523","562.739,598.01","0.0,0.0","715.558,415.869","733.232,572.576","0.0,0.0","503.949,149.429","537.292,141.561","490.294,155.285","578.45,131.744","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"511.9,196.394","582.376,262.995","505.957,288.483","500.073,431.435","488.325,570.658","662.648,241.439","709.743,384.543","731.307,554.924","680.274,419.767","631.311,431.482","566.702,588.264","0.0,0.0","729.345,413.919","735.183,594.116","0.0,0.0","494.148,180.699","525.592,167.105","0.0,0.0","570.639,161.145","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"507.963,227.829","574.561,290.42","496.179,317.869","494.311,455.024","482.449,596.097","660.711,264.995","711.672,447.168","729.354,584.354","686.189,431.478","635.26,437.377","562.789,570.583","0.0,0.0","733.198,429.485","739.105,574.557","0.0,0.0","488.279,212.121","523.496,200.328","472.657,215.992","564.736,190.492","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"502.065,261.131","572.549,317.909","492.222,347.241","492.302,480.508","478.488,633.312","652.927,290.475","709.691,476.554","729.272,619.579","684.263,439.33","635.203,447.205","556.932,562.787","560.816,715.646","735.196,431.502","741.011,576.499","744.963,631.362","478.545,245.446","511.908,235.592","0.0,0.0","556.927,217.941","739.106,672.493","752.792,672.462","746.919,633.315","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"494.175,304.062","568.591,343.374","482.451,370.781","492.274,509.898","488.272,643.079","650.9,319.817","713.567,525.506","735.201,650.855","684.258,437.367","631.349,449.155","554.97,566.683","560.839,715.649","739.118,429.516","740.98,570.615","742.98,660.728","472.669,286.526","507.899,272.856","460.92,292.443","552.95,255.109","729.269,697.883","743.014,697.899","758.638,680.324","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"492.235,335.589","556.837,355.162","476.539,382.548","496.194,509.914","490.284,635.253","639.167,333.581","717.554,474.586","733.18,645.026","680.331,443.224","621.562,455.04","550.973,570.564","0.0,0.0","741.036,431.514","739.088,621.533","741.038,666.576","468.706,321.745","503.964,308.14","451.137,321.779","545.147,286.49","0.0,0.0","0.0,0.0","744.984,664.564","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"494.142,351.248","552.939,357.036","466.782,382.568","496.223,496.178","488.283,623.485","637.219,333.581","742.937,453.082","733.228,619.644","668.565,437.375","615.656,453.041","551.039,558.839","0.0,0.0","725.358,431.513","733.201,615.663","0.0,0.0","466.817,337.477","505.892,323.8","0.0,0.0","541.31,292.379","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"494.129,353.102","543.173,353.191","464.788,382.454","494.154,494.28","480.462,619.643","625.47,329.624","744.917,445.204","741.033,615.627","666.586,431.508","617.574,445.18","556.844,564.738","0.0,0.0","715.637,431.528","729.287,601.92","0.0,0.0","464.862,337.564","504.009,323.805","445.273,337.447","539.169,288.513","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"494.127,337.457","545.171,339.493","464.791,368.88","486.325,492.228","476.633,623.509","629.376,315.876","733.26,443.286","731.282,613.657","676.401,419.763","627.388,431.559","556.912,554.932","0.0,0.0","729.345,415.822","731.238,596.094","0.0,0.0","464.845,325.685","500.073,310.039","445.282,327.673","531.416,272.808","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"494.168,319.885","543.181,335.41","462.831,364.923","478.537,492.182","478.442,623.546","627.44,304.077","713.692,445.131","725.361,617.564","680.314,415.893","631.328,431.46","558.866,554.934","0.0,0.0","731.233,411.895","733.199,601.893","727.289,715.644","464.837,308.111","500.074,290.533","441.331,304.169","527.516,257.159","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"494.195,298.281","541.245,319.87","462.878,351.231","476.638,478.589","476.517,631.277","623.529,290.405","695.937,439.323","711.568,615.605","680.259,411.886","629.395,425.601","558.872,541.268","568.672,715.649","729.245,398.194","717.518,551.022","729.283,603.922","466.769,288.513","500.051,270.853","445.121,286.56","527.558,239.443","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"496.126,278.721","545.167,308.082","462.935,339.483","476.652,470.718","476.515,619.648","631.313,278.678","680.291,431.566","694.005,600.01","680.281,406.064","633.288,417.798","560.783,541.237","0.0,0.0","727.352,396.261","713.586,570.613","0.0,0.0","470.658,270.891","505.916,251.29","445.177,270.866","529.492,223.869","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"496.182,262.994","543.149,298.29","462.899,329.639","476.562,460.929","476.592,619.575","629.398,270.821","670.571,427.586","670.558,586.339","672.465,404.057","627.417,415.882","560.801,541.237","0.0,0.0","721.432,396.21","711.652,562.784","0.0,0.0","472.61,255.169","507.816,233.68","447.097,257.117","531.449,210.054","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"500.09,243.538","543.172,288.482","462.866,319.871","476.477,453.064","476.475,605.894","629.358,257.191","668.572,413.82","651.001,564.7","666.661,398.134","619.638,409.955","562.76,551.013","0.0,0.0","717.529,386.444","715.656,545.132","741.063,715.646","476.462,237.549","507.947,216.023","447.103,239.486","535.354,194.425","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"503.973,229.741","541.293,278.705","462.792,311.977","474.622,445.191","476.57,592.173","629.406,249.314","670.52,398.286","637.269,551.042","668.534,396.27","619.602,407.987","562.766,547.09","0.0,0.0","715.615,386.457","713.696,539.302","740.994,715.638","476.514,223.761","509.845,202.255","445.291,225.717","537.316,180.725","0.0,0.0","0.0,0.0","742.988,715.657","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"505.92,212.189","541.301,266.973","460.9,302.174","474.629,431.444","476.571,574.581","629.38,237.554","676.383,384.478","621.552,535.342","666.643,386.496","619.56,400.135","568.59,560.811","0.0,0.0","717.525,384.441","715.556,533.387","739.09,715.64","476.614,204.213","509.948,184.667","447.154,210.1","539.172,165.097","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"507.868,196.389","541.273,255.204","460.865,288.429","476.503,417.846","476.575,568.674","631.295,225.732","680.334,368.8","617.673,507.949","662.691,382.459","615.68,390.381","566.68,568.644","572.5,715.65","713.588,380.551","715.602,537.28","739.118,715.64","478.527,182.755","513.784,167.028","447.273,194.383","539.253,149.41","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"509.797,178.732","541.205,241.398","460.874,270.824","474.607,408.021","478.444,549.041","629.353,210.167","684.308,351.09","615.609,480.474","658.754,380.539","607.836,390.343","568.601,550.991","572.494,715.65","711.7,376.653","713.639,529.458","741.059,715.637","480.465,163.175","517.675,149.38","447.282,170.983","539.281,131.758","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"509.792,157.198","541.203,225.711","460.863,255.184","472.633,386.503","478.452,525.621","627.424,194.447","693.998,327.708","615.658,449.16","656.832,372.735","607.809,384.48","570.612,529.481","0.0,0.0","709.703,368.781","711.691,525.536","739.062,715.637","480.541,143.513","519.643,129.822","449.172,149.493","539.331,114.078","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"509.948,133.696","541.276,208.184","460.844,239.478","466.8,366.866","478.462,507.956","627.449,178.753","698.024,304.103","617.667,427.524","650.992,368.869","603.935,382.545","566.69,545.153","0.0,0.0","705.793,360.963","711.691,529.476","740.993,715.639","486.391,118.108","523.528,104.395","455.042,131.682","543.161,92.6063","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"511.907,112.136","541.18,192.422","458.917,223.807","462.93,351.192","476.587,484.426","625.437,161.143","709.674,274.827","631.276,396.217","648.992,370.793","601.985,384.465","564.702,560.826","570.641,715.652","699.897,364.852","709.72,525.501","741.028,715.637","490.321,98.3879","523.66,84.7677","458.96,104.381","545.11,72.9987","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"517.702,86.7781","541.186,172.886","458.927,208.111","460.916,329.659","474.589,460.964","625.457,141.557","713.618,247.342","639.202,364.931","645.061,366.801","592.2,376.655","562.802,556.929","572.553,715.651","695.968,353.146","699.974,511.836","741.03,715.638","492.239,71.1259","525.66,65.1372","460.901,84.7346","552.924,53.482","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0","0.0,0.0",0,0
"521.568,68.9834","541.166,153.306","458.956,188.543","458.908,310.051","466.808,433.494","621.552,122.005","719.505,219.898","656.829,327.697","641.157,359.045","588.258,374.699","560.841,554.914","572.518,715.645","694.058,349.209","697.949,511.879","741.014,715.634","494.222,51.4135","529.468,39.7988","462.828,59.2824","555.012,39.6589","0.0,0.0","0.0,0.0","743.022,715.657","0.0,0.0","0.0,0.0","576.493,715.654",0,0
"523.604,49.4596","541.209,135.753","458.959,170.956","453.025,292.406","462.886,413.842","621.553,106.3","729.358,196.344","668.541,304.092","635.237,355.105","586.321,368.786","560.787,539.217","572.519,715.642","686.174,341.398","696.053,509.882","733.228,715.636","500.064,33.7509","537.282,24.004","464.89,41.6579","556.988,24.0574","0.0,0.0","0.0,0.0","739.09,715.661","0.0,0.0","0.0,0.0","576.502,715.654",0,0
"527.498,31.8138","541.293,123.917","460.883,159.147","447.269,274.834","460.859,390.344","625.447,92.6154","735.209,174.853","680.383,274.816","633.235,355.127","584.265,368.79","558.843,537.267","572.536,715.643","682.259,345.323","682.372,496.177","733.226,715.632","507.907,18.0672","541.244,5.33361","476.477,27.921","0.0,0.0","0.0,0.0","0.0,0.0","741.021,715.659","0.0,0.0","0.0,0.0","578.437,715.654",0,0
